"","visit.x","visit.y"
"178",-80.8431267,35.2270869
"179",-80.8431267,35.2270869
"180",-80.8431267,35.2270869
"181",-80.8431267,35.2270869
"182",-80.8431267,35.2270869
"183",-80.8431267,35.2270869
"184",-80.8431267,35.2270869
"185",-80.8431267,35.2270869
"186",-80.8431267,35.2270869
"187",-80.8431267,35.2270869
"188",-111.8314724,33.4151843
"189",-73.2026138,40.8256536
"190",-73.2026138,40.8256536
"191",-73.2026138,40.8256536
"192",-73.2026138,40.8256536
"193",-73.2026138,40.8256536
"194",-95.712891,37.09024
"195",-118.2436849,34.0522342
"196",-118.2436849,34.0522342
"197",-118.2436849,34.0522342
"198",-122.4194155,37.7749295
"199",-122.4194155,37.7749295
"200",-77.8868117,34.2103894
"201",-80.2481666,43.5448048
"202",-84.3879824,33.7489954
"203",-84.3879824,33.7489954
"204",-84.3879824,33.7489954
"205",-84.3879824,33.7489954
"206",-84.3879824,33.7489954
"207",-84.3879824,33.7489954
"208",-84.3879824,33.7489954
"209",-84.3879824,33.7489954
"210",-84.3879824,33.7489954
"211",-84.3879824,33.7489954
"212",-84.3879824,33.7489954
"213",-84.3879824,33.7489954
"214",-84.3879824,33.7489954
"215",-84.3879824,33.7489954
"216",-84.3879824,33.7489954
"217",0.0823976,51.58861
"218",0.0823976,51.58861
"219",0.0823976,51.58861
"220",-95.712891,37.09024
"221",-111.0937311,39.3209801
"222",-81.9320482,34.9495672
"223",-81.9320482,34.9495672
"224",-81.9320482,34.9495672
"225",-81.9320482,34.9495672
"226",-81.9320482,34.9495672
"227",-77.0368707,38.9071923
"228",-77.0368707,38.9071923
"229",-71.3824374,42.4072107
"230",-77.0469214,38.8048355
"231",-94.6858998,46.729553
"232",-94.6858998,46.729553
"233",-94.6858998,46.729553
"234",-94.6858998,46.729553
"235",-94.6858998,46.729553
"236",-94.6858998,46.729553
"237",-121.4943996,38.5815719
"238",-111.9391031,40.6096698
"239",-77.0368707,38.9071923
"240",-106.346771,56.130366
"241",-122.788377,45.4604
"242",-122.788377,45.4604
"243",-122.788377,45.4604
"244",-122.788377,45.4604
"245",-122.788377,45.4604
"246",-122.788377,45.4604
"247",-122.788377,45.4604
"248",-122.788377,45.4604
"249",-122.788377,45.4604
"250",-122.788377,45.4604
"251",-122.788377,45.4604
"252",-122.788377,45.4604
"253",-122.788377,45.4604
"254",-122.788377,45.4604
"255",-122.788377,45.4604
"256",-122.788377,45.4604
"257",-122.788377,45.4604
"258",-122.788377,45.4604
"259",-122.788377,45.4604
"260",-122.788377,45.4604
"261",-122.788377,45.4604
"262",-122.788377,45.4604
"263",-122.788377,45.4604
"264",-122.788377,45.4604
"265",-122.788377,45.4604
"266",-122.788377,45.4604
"267",-122.788377,45.4604
"268",-122.788377,45.4604
"269",-122.788377,45.4604
