,0
52,@RockyMtnMSgt @FAIRImmigration @BreitbartNews @JxhnBinder This just in: The WALL will leave your property on the Me… https://t.co/NsZOeewifl
53,@BlazeTV @benfergusonshow Instead of throwing our hands up. President Trump needs to send the military down to the… https://t.co/Xk6F8bMNZL
54,@Rainmaker1973 for those who are “on the fence” about whether this is somehow a proposal that crosses boundaries of… https://t.co/6WaH0vJJON
55,"https://t.co/nC1aDgrARi
#Orban credited border fence/policies of deterrence for almost 100% drop in illegal crossin… https://t.co/aDJpvodI4Z"
56,"@ConradDeitrick @MarkDavis @DavidAFrench You ask which policies the never trump conservatives ran on? Lets see 
Clo… https://t.co/dRGsZk2BvS"
57,"@SebGorka @CNN HOPELESS,  YOU COULD BE TALKING TO FENCE ON THE BORDER, THEY WOULD SAY, DOESN'T STOP ANYTfbHING.  
T… https://t.co/fzJyIQb6ab"
58,"'Hostile' migrants break border gate to enter Mexico, then attack police — and they're headed north
It's lke the wa… https://t.co/JuyKE0oP9o"
59,"Any Man who proclaims himself a Conservative, just before justifying blowing huge sums of money, spent to build a s… https://t.co/aQc1VTu7uE"
60,@thehill We do have a crisis. We have 700 miles of border fence that is a crisis for nature. Putting fence through… https://t.co/oe721mEjJT
61,"The rational, moral &amp; easily possible position for neutral observers who want no one dead is that they’re well with… https://t.co/o8xRH7C9Nm"
62,"@Angela_Enders @_IamAnita_D Send him to Nancy Pelosi's home!

I think she may have grandkids visiting occasionally!… https://t.co/Fm28AckuCf"
63,"@UFOwga @RealJamesWoods There are hundreds of miles where the border is wide open. No fence, no barrier, not even a… https://t.co/bwePJklEBr"
64,"@cnnpost @RepMattGaetz a bunch of his ""at the border"" tweets were lies.  (he was at a fence manufacturer 100 miles… https://t.co/7yI77Rx1UZ"
65,@mrgenius7997 @Amethyst_1690 @LordDwa @SLRACT What is this fence between East and West Belfast?
66,@Amethyst_1690 @LordDwa @SLRACT @border_solution if east belfast is so friendly why the need for the big fence up b… https://t.co/z7fvDBSOer
67,@fall_babylon @RepSeanDuffy I agree. We can’t imagine what it’s like to flee a country that’s war torn or economic… https://t.co/y5PxKpWUf2
68,@RepMattGaetz @RepAndyBiggsAZ https://t.co/dTNR41uQA7
69,@CAL11172 @TomiLahren @realDonaldTrump @SpeakerPelosi @GavinNewsom @KamalaHarris Cages. Do you mean chain-link fenc… https://t.co/o76ZjhODLt
70,@ManPalestine But what will all the animals in the gaza border fence trying to breach it wear?? Lol
71,@BethLynch2020 If they were seeking asylum they would have gone to a border checkpoint not cross where there is a g… https://t.co/yPugNTsQBh
72,Kris Kobach and fellow border hawks join Army Corps in Arizona to see company's border fence proposal
73,@RepJerryNadler @HouseJudiciary And the people are requesting a fucking FENCE at the border.
74,@markhumphrys @PaulOMahony5 He was attempting to kill or killing NO ONE and was blatantly no threat to the border f… https://t.co/AvSa7BTYc1
75,@1Fubar and your back fence would have to be taken down to prevent a hard border.... @brexitparty_uk
76,@dcexaminer @AdamSchiff Nobody believes you Schiff. Move on and actually do something in Washington beside climbing… https://t.co/GF0oPq7Wrd
77,@realDonaldTrump Big lies continue to be told about the non-existent wall. You know the fence that has an arrow tha… https://t.co/fHJs7BKHmR
78,"@realDonaldTrump :

Build the wall. Send in the military. Use bullets. 
Declare a national emergency. 
Do not let t… https://t.co/tAiamK9XDs"
79,"Illegals Storm Mexico's Southern Border, Jump Fence To Join Migrant Caravan https://t.co/RmSx5iG4Xp via @PoliticsIsDirty"
80,fact Kris Kobach and fellow border hawks join Army Corps in Arizona to see company's border fence proposal
81,@intheMatrixxx @POTUS Remember [P] owns all railroads. At the south border there is also a train track within feet… https://t.co/YpDn1CrysQ
82,Friday Notebook Preview: The border visits by D.C. politicians are a farce. They only visit to get photos and video… https://t.co/nJ5F9zwOxT
83,Notebook Preview: The border visits by D.C. politicians are a useless farce. They only go for the photos and videos… https://t.co/AXjLkBWoDv
84,"Illegals Storm Mexico's Southern Border, Jump Fence To Join Migrant Caravan; Cuban &amp; Africans Get Violent w/Mexican… https://t.co/aue7j2R77r"
85,Black toxic water flowing through the border fence at Smugglers Gulch today. And 1.5 million gallons flowed through… https://t.co/wrKiiooK10
86,"ONLY ON ABC-7 AT 6: ""Muevanse! Muevanse como vacas.""  That translates to: ""Move! Move like cattle!""

Border Patrol… https://t.co/V3Th0j8l0C"
87,@Deepsleeper8 @CallenFamily Wasn’t even thrown-stoning-distance from the border fence. Amazing how far you’ll probe… https://t.co/hqWbX4CNAY
88,"@SenatorSinema Seriously? Can we talk about the human rights violations occurring at our border, in our names?  The… https://t.co/x4DnaQQCA9"
89,"Migrants attempt to cross US-Mexico border fence""  https://t.co/3BUFKOHUdP Nancy Pelosi says we have no crisis at t… https://t.co/2XFseD8RtM"
