,0
50,"@Kybelle1957Liz @Freitajo28 @EnragedApostate @CNN @cspanwj @cspan @realDonaldTrump If Mexico is paying, why is DJT… https://t.co/PhpHMsna15"
51,"@realDonaldTrump They are not BS ........ WELL talk to Papadopoulos it was started because of him. 37 indictments,… https://t.co/3el2wfg6Ky"
52,"On a positive note, I went 24 hours without hearing anything related to a wall or immigration until now.… https://t.co/iRwgH5pOyO"
53,"Jesus died for our sins today so we could donate 1 billion dollars to the Catholic Church, to build a wall against… https://t.co/y9S4KJXbbc"
54,"Mexico sends its people, they’re sending people that wall."
55,"@Kybelle1957Liz @Freitajo28 @EnragedApostate @CNN @cspanwj @cspan @realDonaldTrump Hey, Mexico pays for wall! Big l… https://t.co/qy01oWtdSH"
56,@The_Taxdude @JJosh61 Trump got help winning the election. It's not a legitimate win. Putin's Puppet is illigitimat… https://t.co/VlEaIZupAW
57,"Say hello to @mezcalalipus - another favourite on our Mezcal wall. This is the San Baltazar, made with agave Espadi… https://t.co/ghdZzUqv4z"
58,"@realDonaldTrump You said that months ago. Yet no wall was built. Obviously there is no emergency or bad ""hombres""… https://t.co/bfyPqugIoB"
59,@DixiePaisley @renato_mariotti @realDonaldTrump He’s also on tape saying Mexico would pay for the wall and that he… https://t.co/HwKDfnq37K
60,"6) ""Mexico is going to pay for the wall"" was a new (and also obviously ridiculous) twist, but xenophobia and calls… https://t.co/IxjEu2BsN7"
61,"Sounds like the people of Mexico are tired as well. Maybe they need a wall at their southern border!

#wallswork… https://t.co/nwkvlah2hn"
62,Build the wall.......https://t.co/qVyxlS1YQV
63,In the news!  'Borderland Citizenship' Could Bring Justice to Both Sides of Trump's Wall - The Nation… https://t.co/Nk6QrHmOAY
64,"#GoodFriday #FridayFeeling #FridayMotivation
After telling us he wanted to testify, Trump refused to testify when h… https://t.co/phjvCqgBh5"
65,"No wall, no Mexico paying for the wall, no lock her up, runaway deficit, NK testing new weapons, still in the middl… https://t.co/llUUAR27eE"
66,"@Derthlurf @thehill It's not Trump's border wall. It is America's. Illegal aliens cost more, they pollute more. Emi… https://t.co/vKNeKYppRD"
67,THIS MORNING  TRUE AMERICAN’S PRAY.   GOD EXPOSE THE EVIL PLACE A HEDGE OF ANGELS AT THE MEXICO BORDERWITH FLAMING… https://t.co/hiONLTLcWI
68,New Mexico county declares state of emergency over influx of migrants: report https://t.co/OaSc8Yy90Y #FoxNews… https://t.co/86aqkibIAq
69,@SteveLewisIII1 @FrankDangelo23 @realDonaldTrump Steve is a mindless sheep who worships a draft dodger. Steve is pr… https://t.co/GZnz75WhAK
70,"@matt_hudgens Furthermore, top economist all say US consumers are paying the costs of the trade war w/ China &amp; Mexi… https://t.co/dczLtPtbDJ"
71,"@realDonaldTrump ""Mexico will pay for the wall""

Nothing you say is true"
72,🇲🇽🔙🇺🇸 why not push them back into Mexico? Why bring criminal inside USA? Truck them back &amp; dump them off on the oth… https://t.co/VquBL27aCf
73,"@MrM1S @realDonaldTrump ending birthright citizenship, making mexico pay for a wall, releasing his taxes, yea he do… https://t.co/CtzCQ3iszj"
74,@realDonaldTrump Untrue? Like your claims you have no dealings with Russians? Untrue like Mexico will be paying for… https://t.co/5WcytBFvYA
75,@real_defender @realDonaldTrump @TuckerCarlson coal? new healthcare plan? Mexico's check to pay for the border wall… https://t.co/kuO0BDdfze
76,"@realDonaldTrump ""Mexico will pay for the wall.""

I'll show you my taxes as soon as I'm out from under audit.

Shut… https://t.co/zgISdyKoGY"
77,@DanTau2 @TimesLIVE @Our_DA And how you gonna force nigeria to pay? Even Trump failed to force Mexico to pay for th… https://t.co/w8Zenb84e1
78,@DGoigh @CNN @ChrisCuomo It’s straight what is the border wall at dumb asses Mexico 🇲🇽idiots not anywhere else so g… https://t.co/tr5bUr9I4L
79,"@realDonaldTrump ""Mexico will pay for the wall.""

When we see the full unredacted Mueller report we can draw conclu… https://t.co/3a4Kfh0pfe"
80,"@AustinScottGA08 You Right Wing Complainers had 2 Full Years to get anything you wanted done...
But you and Trump w… https://t.co/NEG6jLCxUR"
81,"How about this... We finish the wall, then move every U.S. felon overcrowding our prisons across to Mexico and slam… https://t.co/a8J2oslSZf"
82,@realDonaldTrump @TuckerCarlson “I have no dealings with #Russia “ “Mexico will pay for wall””I will show tax retur… https://t.co/4VQgBG0mUa
83,"@realDonaldTrump And México's paying for your wall .. 
And Obama didn't tell Mitch Mcconnell about the Russians ...… https://t.co/2txvRSmMDS"
84,Videos appear to show armed militia detaining migrants at US-Mexico border. ITS about time we need to protect it li… https://t.co/UhcxlcvTmc
85,Racial superiority is a mere pigment of the imagination. the ''I will build a great great wall on our southern bord… https://t.co/cnlwGxP0Ni
86,@WhiteHouse He also said from day 1 Mexico will pay for the $60-billion wall... ¯\_(ツ)_/¯
87,"@ThePatriot017 @CatGwynn @SmokinTailwind @MJTPhotos @mogadissues @IlhanMN You have a passport?

Can you talk the re… https://t.co/TTJEANf7eC"
88,"@realDonaldTrump Mr. President, build the wall, shut down the border until Mexico properly assists with stopping il… https://t.co/2we3vtrbDr"
89,Mexico is awful and dangerous. Build the damn wall. https://t.co/NfxyAh9cX2
90,@ChristellFaul @gatxer01 @GreggJarrett So he doubled down on *all* the campaign promises idiocy - Muslim ban that w… https://t.co/mKlELmuOtr
91,"@realDonaldTrump @FoxNews @foxandfriends Here's a novel idea, how about we give our President all the money he want… https://t.co/47weNgcN8W"
92,"@realDonaldTrump What are you going to do when you can't hide behind the words Russiagate, and conservative America… https://t.co/Sxuk1NV6xc"
93,"Trump May keep on trying to build his wall, meanwhile the cultural and culinary influence of Mexico is global. https://t.co/Ni5GtDTUZ0"
94,"@MademosVaughan @Nathan__1 Mexico will pay for the wall, lol."
95,"Some of the discussion surrounding the US-Mexico border actually makes sense, at least theoretically |… https://t.co/kp7pz0uduf"
96,"Nancy Pelosi visits Irish border and https://t.co/V1OGWqH4t4 to Laugh at the  Yanks ,they come to Ulster making thr… https://t.co/0PAmPNThjx"
97,@BeattieDoug America - a country seemingly hellbent on building a wall between it and Mexico - highlighting the vir… https://t.co/qfQpuckpsj
98,المجلس الأعلى للدفاع: لضبط التهريب برّاً واليد العاملة غير المرخص لها https://t.co/7rMPqbsrgy via @Annahar . NOT IN… https://t.co/wwt2EMcTjW
99,"@AmateurEconomix @lewis_goodall The irony would appear to be all yours.

As Pelosi's habit of opening her mouth and… https://t.co/1Nzjtf93vz"
100,@INCIndia Thank God he didn't say it will come from Pakistan like how Trump says that the money for the wall will come from Mexico 😂
