,0
53,@Locke_Wiggins @ewarren HAHAHA! Pick your favorite of the most egregious things he has done. Separating families? L… https://t.co/qpbqzGxvWE
54,"This system allows companies to continue to pay wages at or near the poverty level, which are subsidized by the gov… https://t.co/IWxBND6ihI"
55,"The pilot program also functions as a kind of double subsidy for Walmart and Amazon, since their own employees spen… https://t.co/YOQyoxkM28"
56,@GDThor1 @HollyHuntley3 @VCSParent @RoseWoo15096108 @McGeezer67 @KinmartinTori @WatchingWhatYou @Jessie092859463… https://t.co/8gjm1syLYt
57,"@col_potter94 @molratty Exactly.

Can we please stop calling city, state and federal employees ""public servants""?!?… https://t.co/ySidWkeLLZ"
58,"@DrSenait @amirabiy @PMEthiopia So do Teachers, police, soldiers and all federal employees."
59,"So, do republicans want us firing all Republican federal employees from office if democrats win? 

Can the democrat… https://t.co/hz3elWUnZ2"
60,"@brithume Weird how folks keep saying the president can't fire employees in the Executive Branch, otherwise it's ob… https://t.co/tHb6MkpD0u"
61,"@USSenate After Barr's performance so far as AG, my 40 yr career in Gov service (mil &amp; civil service) made me feel… https://t.co/ASVuhK7mi3"
62,"@CNNLIVE_ After Barr's performance so far as AG, my 40 yr career in Gov service (mil &amp; civil service) made me feel… https://t.co/Y5wyHzyoSR"
63,"@smerconish After Barr's performance so far as AG, my 40 yr career in Gov service (mil &amp; civil service) made me fee… https://t.co/iyGAcAUkNG"
64,"@ericswalwell Gun=tool, people are the problem. Gun confiscation is not the answer. The problem in Parkland is the… https://t.co/4QUo8im3vT"
65,"Use of Federal Government resources for political purposes is a crime punishable with imprisonment!

When will thos… https://t.co/sb9c1CYZzn"
66,Cannabis Watch: Investing in cannabis companies can threaten federal employees’ security clearances… https://t.co/0MTxKq1ug9
67,@Lunar_kitsune @eskuard @stonzluv @ewarren @realDonaldTrump The states weren’t shut down. It affected federal emplo… https://t.co/jxWEYSTjJt
68,"Sponsor: National Hispanic Coalition of Federal Aviation Employees
Amount: Varies
Closing Date: May 1, 2019

Descri… https://t.co/A0dEVqcFCu"
69,@mubasherlucman Approach because federal is least interested and provincial govt dam care the employment of employe… https://t.co/ckx4nqGaTU
70,Great read - a summary of the “criminal abuse” by some federal employees. https://t.co/EcNKgIYCKI
71,@LizEClark @LaneZane1 We would also like to remind the American Taxpayers these two women are Federal Employees &amp; a… https://t.co/u6FnyPOlJG
72,Cannabis Watch: Investing in cannabis companies can threaten federal employees’ security clearances… https://t.co/ZCSUs4CzCr
73,Both federal and DC law prohibited any employer with more than 50 employees from participating DC's SHOP Exchange. https://t.co/edgIK0IwI4
74,"@Judgenap assumes he has been deputized by God to judge @realDonaldTrump 

If 2 years of investigations +, million$… https://t.co/WOt6JGDQ9o"
75,"@tracybeanz @SidneyPowell1 ⛔ FBI GUILTY

Framing of FOUR Innocent Men
👉 30 yrs in prison. 
👉 2 die in prison

""FBI… https://t.co/SyGkG8AGJB"
76,I think they need to sue their own city or state.  Isn’t that where the blame lies? The people who broke the rules… https://t.co/1MLXWUMJys
77,"President @realDonaldTrump, please, since many women feel men are disrespecting them, make an executive order that… https://t.co/ACcrlP6Rdp"
78,Cannabis Watch: Investing in cannabis companies can threaten federal employees' security clearances https://t.co/zKWvom2vr4
79,Top Trump officials are about to get a $10K raise while federal employees work without pay during the shutdown - VI… https://t.co/zxdyhoPIBy
80,Cannabis Watch: Investing in cannabis companies can threaten federal employees’ security clearances… https://t.co/tWih3xFSbz
81,"@ourtruecrimepod I remember heading off to school when this happened ....the damage was colossal.

There was a day… https://t.co/zKiOjpm6Lq"
82,"Yes, like who paid for it (Clinton) and their coverup and help from federal employees. https://t.co/OTTdKPLfFi"
83,Cannabis Watch: Investing in cannabis companies can threaten federal employees’ security clearances Elon Musk’s cle… https://t.co/WscRJMIXn7
84,Cannabis Watch: Investing in cannabis companies can threaten federal employees’ security clearances… https://t.co/WsuoItAcc7
85,Cannabis Watch: Investing in cannabis companies can threaten federal employees’ security clearances… https://t.co/ZqgktwMTLO
