,0
49,Our president’s loyalty should be with the U.S. not with France. Instead of sending money to repair the Notre Dame… https://t.co/bNpDgoVDxG
50,"Now. how about that Border security Nancy?
How about getting to work FOR the American People instead of Trump Bashi… https://t.co/OJFxvlKT5a"
51,"Sarah translation:  trump is God, everything is normal, no chaos, trump never lies, MSM is fake news, this is a wit… https://t.co/o1SxCglO6i"
52,"@KerriJersey @fix_dan @WalshFreedom @ShnydaOne Reading is fundamental

https://t.co/erUWTPuZE1"
53,"@IvankaTrump If President Trump had only stopped giving US tax dollars to the PLO- Dayenu
If President Trump had on… https://t.co/qsOqFdSlbW"
54,@s96677980 @FitzpatriotBrad @GoodbyeCali @Antipropaganda7 @Samarino1776 @william96456209 @Sambyhere @TWITMO_INMATE… https://t.co/NmbrbdJjWu
55,"""He said the organization plans to remain on the border until the extended wall proposed by President Trump is buil… https://t.co/zBxy5WLYhm"
56,Home Depot Sponsors 129 Miles of Trump's Border Wall https://t.co/kkceBgkczR
57,"@KerriJersey @fix_dan @WalshFreedom @ShnydaOne If trump loses, open borders, late term abortion and socialism will… https://t.co/STeJmsgC1c"
58,I'm with President Trump! Congress MUST support national security and FUND THE WALL!
59,"listen to understand the *function* of the border, under the system of capitalism. ""we don't have open borders for… https://t.co/vB8muuh2Ek"
60,"@JudyWoodruff Yeah, we get it.
NOT TO BE LOST on ppl:
TRUMP/PENCE REGIME is FASCIST 
is Building a WALL
Keeps KIDS… https://t.co/LW45AL3Jnh"
61,@SenFeinstein I am a 79 year old female.  I used to be a Democrat and voted for Obama the first time.  Then I saw t… https://t.co/PYEuuRi8bh
62,@tribelaw After the 1st pass through M's Report I felt sure Trump would go straight to the @WhiteHouse to pack then… https://t.co/bULD7ZYGOy
63,Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the public! https://t.co/Qr5QeM69On
64,US states led by California sue Trump administration in showdown over border wall funds - Donald Trump's America -… https://t.co/krVtryTq5M
65,@ewarren Trump building a wall.  Locking up crocked Democratic Socialists.
66,@RepAdamSchiff first of all u are a liar stating u had proof of collusion &amp; u need to apologize to Trump &amp; second M… https://t.co/ghlCeCqqPB
67,@thehill @gatewaypundit @KellyannePolls PREDICTION: 1) @realdonaldtrump will be reelected guaranteed 2) he will not… https://t.co/nq2Kz3Uavv
68,"This is going to get expensive, Oh well. Let's just increase the taxes to build the wall. Wait. Crap, Trump already… https://t.co/Ow5kDwb8s8"
69,"@ABC Mueller left it open because he knew the Democrats would nail his ass to the wall and ruin his life.

Now if M… https://t.co/RElZ4E38ut"
70,Trump's quote should be placed on every wall of his property for all to see and point &amp; laugh at! https://t.co/VM71KdedSI
71,"Yeah, we need to build a wall across the border.  We finally have 11 miles of the neat, new, transparent wall thank… https://t.co/C4QBKvDUpp"
72,@Franklin_Graham @POTUS Praying for our President🙏 I want the wall built!! They need to let this go and work with President Trump!!
73,@gatewaypundit @AOC PREDICTION: 1) @realDonaldTrump will not be impeached. The majority of voters don't want it and… https://t.co/wz1dkeJMiA
74,@seanhannity @JaySekulow @PressSec @DevinNunes @GreggJarrett @SaraCarterDC @marklevinshow You will have a wall to w… https://t.co/Kr94CRYtpq
75,A team of journalists at the Wall Street Journal won in the national reporting category for coverage of payments to… https://t.co/HXoWrqSVMc
76,"@patti12471 @TrumpWarRoom @GOPChairwoman Mueller's role is largely a mystery to me. In the end, I think he could se… https://t.co/h2C7WdyFJJ"
77,@SenToomey @GovWaste Have you forgotten about the deficit that Trump is passing on to our children and grandchildre… https://t.co/MpOL5ZvAf4
78,"@sami_jaye If Trump disappointing you turns you into a socialist-supporting nincompoop, then your conservative conv… https://t.co/ESo7Am8Jwf"
79,"The very first step is to impeach William P Barr, he lied to us in 1989 and again today. Next go after everyone tha… https://t.co/yBxWxhvG6g"
80,"U.S. Boxer Rocks Trump Border Wall Shorts, Gets Crushed By Mexican Opponent https://t.co/VEZPWkLxxu"
81,Pentagon Announcement May Have Just Delivered 2020 to Trump: Wall Construction To Be Finished Oct 2020 https://t.co/8uMUQOiX7c
82,NO ONE of any political importance/substance DARE show their lackluster support for Idiot trump (because he is GUIL… https://t.co/LsTHPIr1TB
83,@trump_nhl If these Canadian teams keep losing you wont need a wall sir
84,"@renato_mariotti Calling Manafort &amp; Cohen (&amp; probably Stone &amp; Corsi &amp; others) while they’re under indictment, assur… https://t.co/wQkhZUKNuc"
85,"@THEDenise85 @Acosta I support politicians based on facts+policies. 4 the current political env, Trump is the right… https://t.co/lVPmraJKGt"
86,@realDonaldTrump Trump is awesome wish he was the prime minister of the uk this country is fucked. No other preside… https://t.co/fObTsLEAC4
87,Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the public! https://t.co/lXKB2CAUiK
88,@KHayhoe Very helpful thank you. I do also feel though that the trump build a wall gofundme blew up all over social… https://t.co/yyHYVtFs5i
89,Wall Street executives combing through Robert Mueller’s report will notice the name of one of their own https://t.co/hIVUSb9DI1
90,@GretchenInOK I agree! When Trump was a candidate she would get moist at the mention of his name and now she has tu… https://t.co/aXLJtQLMLt
91,@Sparrow0999 Agree with all of these except rand.He voted against trump with the wall funding because he didn’t wan… https://t.co/n0zEboltRM
92,"- With the floods in the Midwest, FEMA was hindered by Trump when he cut the FEMA budget by $10 Million and redirec… https://t.co/E81GazjOPg"
93,Nothing to impeach on... #obama was the one that knew Russia was destroying the election.. vote #trump back in to s… https://t.co/nSH6WmEmy7
94,"@iamthe1110 @NoFascistLies And be prepared months before, to be out of the country for a bit to see what happens un… https://t.co/pdlv9GqRnk"
95,"U.S. Boxer Rocks Trump Border Wall Shorts, Gets Crushed By Mexican Opponent | https://t.co/cRQCoQAXz5 https://t.co/xGZ2YFnnRh"
96,"Coulter Says She Could Work for a Sanders Administration
https://t.co/8N0bQBAYNy

Whatever respect I once had for C… https://t.co/OT41RvJBFS"
97,"Disgusting Liberal Wall hypocrites with"" Hate"" Trump agenda would rather screw than protect the American people by allowing open borders."
98,@BBCNewsbeat Ohhh nooo...  is trump's fault because he called Bangladesh a sh.thole hahahaha. That's why we need a… https://t.co/fwavJXP2Bk
99,Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the public! https://t.co/hfL7F3x5Ev
100,The inspirational inscription on the wall of the future Donald J. Trump Presidential Library's very popular Covfefe… https://t.co/ZcGGoPqYMl
101,@StephenSpeaksUp @RepAdamSchiff She was there explaining that how and why Julian Assange picked up Hillary’s emails… https://t.co/UvitAGAmnC
102,"You Won’t Believe What Wall Street Thinks About Trump’s Re-Election Chances

https://t.co/5eoIs1t6k9"
103,@realDonaldTrump Truly fake thinker/opinion writer @kimstrassel is without question one of the most embarrassing as… https://t.co/OE5fVfVhKU
104,"""I had no idea"" Trump says of the dead. We've been trying to tell you! One of the Deadliest Places on the Southwest… https://t.co/cVYJHpw167"
105,The ‘Game’ is ON!! In fact the Citadel has proof of Trump’s corruptions and baboon incest! The Dothraki&amp;Wildings ar… https://t.co/cxlTbMvPHA
106,@IlhanMN Damn Trump is gonna have to build a wall after that sick burn!
107,@GOP @LizRNC Yea except we know there in FACT was!! Also that’s “trump change” compared to all of Donald’s trips an… https://t.co/HYVwxG375M
108,@elizashapiro The same white liberals who live in million dollar brownstones and disdain trump and his wall are not… https://t.co/AYAY43Y8MO
109,#letitrip keep up the good work Trump and build MY wall!
110,@contrer_erica Maybe we should build a wall and streamline legal immigration to make it easier for them to come ove… https://t.co/WRObi5hDwA
111,@RealJack She is a one dimensional thinker.  Bernie Sanders would have open borders and get rid of ICE.  Her hatred… https://t.co/48M047ed25
112,I hope when Trump build the wall he capture a few niggas too! Send y’all asses off!
113,"If one channel didn't work, Russian officials tried another. They connected to Trump's campaign and inner circle th… https://t.co/jA4zbrFWms"
114,"Kim Jong Un to visit Putin as ties with U.S. fray - The Wall Street Journal.  Once again, how much more do we the p… https://t.co/ylDsybf1ex"
115,If the liberal media hates Trump’s wall so much why do they put up paywalls?
116,397/ What America needed was a media that would do the hard work of painting a picture of how Trump became a compro… https://t.co/lpeRL0nGYE
117,"Mueller needs to testify, along with every person involved in the investigation, Congress needs to hold their ass t… https://t.co/3QSJKqrnPv"
118,NO TRUMP WALL ON NATIVE AMERICAN LANDS 📢 sign this petition now https://t.co/Hg67c8JrmD #NoBorderWall #TohonoOodham… https://t.co/FIbiG5TLA0
