,0
57,"When will our complicit News Media start adding CLIMATE CHANGE before MIGRANTS/MIGRATIONS?  
We need less hateful p… https://t.co/gcKzydilmy"
58,New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report https://t.co/0qe88AMBOp #FoxNews
59,"#THISisAmerica 2019 ... “If these people follow our verbal commands, we hold them until Border Patrol comes. Border… https://t.co/V1eemGfbY6"
60,"New Mexico militia group is detaining migrants at the border, report says - CNN https://t.co/3f5eHjuZGT #SmartNews"
61,This is really happening in new mexico right now dangerous white supremacists from the midwest are violently kidnap… https://t.co/CS5997MWlW
62,"#NewMexico is doing something!!

#WeThePeople ⁦@POTUS⁩  https://t.co/d7HAFHtnS6"
63,New Mexico militia detains   migrants at gunpoint until Border Patrol arrives: report | Fox News https://t.co/nbQaXzJ88F
64,"“Trump's army: More than 300 asylum seekers surrender to armed militia of 'New Mexico residents, veterans and ex-co… https://t.co/oIFQciyoNm"
65,"New Mexico militia group is detaining migrants at the border, report says - CNN https://t.co/lpCcK12uAN #SmartNews"
66,New Mexico militia group detains migrants at the border - CNN https://t.co/nUh8wxE6SW
67,New Mexico militia group detains migrants at the border https://t.co/iD3PwEtu2f
68,"""Videos appear to show armed militia detaining migrants at US-Mexico border"" https://t.co/apFj89c4f2 #Militia #border #migrants"
69,Racism at the border. https://t.co/8CKKYqSTxH
70,New Mexico militia group detains migrants at the border - CNN https://t.co/rADdpWzITi
71,"Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/TT7OFRoLyQ

This shirt need… https://t.co/QvBjdChrs2"
72,Right-wing nutjobs are accosting migrants at gunpoint at the border. https://t.co/1h57ok9R8e
73,"""A right-wing militia group operating in New Mexico has begun stopping groups of migrant families and detaining the… https://t.co/wbwn9lN9NY"
74,@tuscanysunsets @Awhatdafudge @afbranco @realDonaldTrump Let's also support the Patriot citizens defending the Sout… https://t.co/zhAJiVozdD
75,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/7LiWj2M3lw
76,"How retro.
Nothing like righteous good 'ol boy vigilantes policing the border in the interest of Lord Trump.

I'm s… https://t.co/ckzcxr4SRs"
77,New Mexico militia group detains migrants at the border https://t.co/1uS7Jyx4Kt No vigilantes in the matter of border security.
78,(via @TheStranger's Slog AM https://t.co/9OJOGhVw4g ) https://t.co/xf1gnEKgHV
79,"“completely unacceptable” that migrants be “menaced or threatened” upon entering the U.S.""

Uncontrolled borders ar… https://t.co/fIc6kxtfUi"
80,President realDonaldTrump said he would block money transfers to Mexico to fund a much-needed border wall as Mexica… https://t.co/hCRh26uR7G
81,One of the Deadliest Places on the Southwest Border https://t.co/ATTF8n8uWF
82,New Mexico militia group detains migrants at the border https://t.co/1uS7Jyx4Kt
83,President realDonaldTrump said he would block money transfers to Mexico to fund a much-needed border wall as Mexica… https://t.co/O6Vlav120p
84,New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report https://t.co/LQDh4qdz56 #FoxNews
85,President @realDonaldTrump said he would block money transfers to Mexico to fund a much-needed border wall as Mexic… https://t.co/zic9cX5SIQ
86,All the more reason to get more human rights lawyers down there as soon as possible. This is going to escalate to r… https://t.co/OKRha6oKpW
87,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/UBGqEqkFZQ
88,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/dNeDkHlSYl Good!! It's the… https://t.co/AY625d7YES
89,Militia detains migrants at gunpoint along the US-Mexico border - https://t.co/ZnqgQkcokC @techjollof https://t.co/fygn85NMPo
90,Certifiably insane. Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/xSAfAOyLOF
91,New Mexico militia group detains migrants at the border - CNN https://t.co/uaAHcpYDJR
92,New Mexico militia group detains migrants at the border - CNN https://t.co/W2vCDAexrF #SmartNews
93,New Mexico militia group detains migrants at the border - CNN https://t.co/d7TBTHOymN #SmartNews
94,"Not only does this seem like kidnapping by militia members, to the extent Border Patrol coordinates with these kidn… https://t.co/qh7hoxvWJh"
95,New Mexico #militia group detains migrants at the border - CNN https://t.co/HaMYSlgmLs
96,"This is pure racism, fully anti-American, and fucking dangerous. 

Videos appear to show armed militia detaining mi… https://t.co/jL9DnbhcL6"
97,"New Mexico militia group is detaining migrants at the border, report says - CNN https://t.co/nxYgIBesqZ #SmartNews"
98,My favorite part of every article about some racist militia on the border is where some alpha dude bro moved halfwa… https://t.co/zlapX5uExd
99,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/MwGL7clL8s
100,"Trending FOX BUSINESS News: Obama border patrol chief: Citizens patrolling US, Mexico border very dangerous Congres… https://t.co/uLXZKEDJct"
101,Videos appear to show armed militia detaining migrants at US-Mexico border | US news | The Guardian- MFing bastards https://t.co/fHtrl9P0OD
102,"""...it’s incredibly traumatizing to have (members of a militia group) who are not law enforcement, who are carrying… https://t.co/okL2R49huS"
103,"Not okay. 

Videos appear to show armed militia detaining migrants at US-Mexico border | US immigration | The Guard… https://t.co/OQvtNflAQA"
104,"Tanks moving thru US/Mexico Border
https://t.co/EiWbnSdRBS"
105,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/NREKhYGVUW
106,New Mexico militia detains migrants at gunpoint until Border Patrol arrives:/ THIS IS WHY WE HAVE A 2ND AMENDMENT S… https://t.co/6daDayDP9p
107,This is terrifying: Armed pro-Trump militia members are detaining (kidnapping) migrants at the US-Mexico border and… https://t.co/eJUGL7x7P3
108,https://t.co/f3kYdupj5h https://t.co/MtYFbVrc3l
109,💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙✌Cellist Yo-Yo Ma plays a concert at a US-Mexico border crossing… https://t.co/qZU0Mz9MUa
110,"Sounds like a great idea to me! Where do I sign up?
https://t.co/vNitbQfwCX"
111,New Mexico militia group detains migrants at the border - CNN https://t.co/oPSjUc7b4D #SmartNews
112,"""Militia in New Mexico Detains Asylum Seekers at Gunpoint,"" vigilantism on the border by @viaSimonRomero https://t.co/bl3JObAvVT"
113,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/Ubd6kCtzGN
114,New Mexico militia group detains migrants at the border - CNN https://t.co/dBsQWIcJHK armed vigilantes...
